Air_Quality_DataFrom Date,To Date,PM2.5,BP,RH,WD,WS,CO,NO2,Ozone,SO2,TEMPARATURE
01-01-2018 00:00,02-01-2018 00:00,488.62,733.0,71.69,140.8,0.32,3.72,87.65,27.74,21.69,12.5
02-01-2018 00:00,03-01-2018 00:00,360.76,733.0,71.9,197.44,0.34,3.93,83.98,33.83,23.63,11.8
03-01-2018 00:00,04-01-2018 00:00,288.57,733.0,67.3,248.62,0.32,2.12,87.43,29.08,20.43,11.1
04-01-2018 00:00,05-01-2018 00:00,352.22,733.0,69.67,151.16,0.76,1.28,92.08,35.48,21.95,10.9
05-01-2018 00:00,06-01-2018 00:00,305.94,733.0,67.91,105.28,0.8,2.67,82.24,29.0,21.69,11.7
06-01-2018 00:00,07-01-2018 00:00,324.43,733.0,62.02,239.13,0.31,3.54,123.86,22.03,22.34,11.2
07-01-2018 00:00,08-01-2018 00:00,244.64,733.0,56.24,262.09,0.58,2.74,104.59,15.47,21.55,12.1
08-01-2018 00:00,09-01-2018 00:00,177.4,733.0,49.38,249.01,0.39,3.35,129.12,15.26,23.5,12.3
09-01-2018 00:00,10-01-2018 00:00,373.14,732.99,54.37,246.59,0.38,3.82,138.93,16.35,23.49,12.6
10-01-2018 00:00,11-01-2018 00:00,246.4,732.52,49.21,271.14,0.66,2.76,109.23,18.45,23.07,13.8
11-01-2018 00:00,12-01-2018 00:00,203.02,732.53,47.66,269.5,0.77,4.49,106.37,19.74,23.39,13.8
12-01-2018 00:00,13-01-2018 00:00,235.63,733.0,46.91,261.64,0.44,2.36,128.18,21.53,30.31,14.6
13-01-2018 00:00,14-01-2018 00:00,378.93,733.0,50.51,237.12,0.35,4.9,137.78,20.26,24.67,14.3
14-01-2018 00:00,15-01-2018 00:00,302.92,733.0,48.09,246.91,0.39,2.73,123.09,22.64,24.67,14.3
15-01-2018 00:00,16-01-2018 00:00,240.9,733.0,50.3,264.17,0.72,1.83,101.05,22.09,20.8,13.9
16-01-2018 00:00,17-01-2018 00:00,163.43,733.0,42.83,242.16,0.47,2.06,113.0,26.47,27.87,15.2
17-01-2018 00:00,18-01-2018 00:00,291.16,733.0,64.85,88.52,1.19,1.28,72.49,23.6,18.02,14.4
18-01-2018 00:00,19-01-2018 00:00,451.25,733.0,62.87,173.28,0.3,4.07,137.55,24.92,31.91,16.7
19-01-2018 00:00,20-01-2018 00:00,414.69,733.0,59.27,254.89,0.35,2.25,149.24,21.47,21.65,15.1
20-01-2018 00:00,21-01-2018 00:00,234.83,733.0,60.78,272.22,0.4,1.51,107.97,18.3,21.96,13.9
21-01-2018 00:00,22-01-2018 00:00,227.46,733.0,37.0,179.96,0.38,2.74,159.15,58.58,34.29,14.3
